[2026-03-30T12:05:02.344Z] GET https://www.google.com/search?q=%22claude+code%22+plugin+system+%22plugin.json%22+manifest → pending (?ms, ?B)
[2026-03-30T12:05:02.587Z] GET https://www.google.com/search?q=%22claude+code%22+plugin+system+%22plugin.json%22+manifest&sei=7mbKaf_jHbLmi-gP0bHo2Q0 → 302 (373ms, ?B)
[2026-03-30T12:05:02.960Z] GET https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3D%2522claude%2Bcode%2522%2Bplugin%2Bsystem%2B%2522plugin.json%2522%2Bmanifest%26sei%3D7mbKaf_jHbLmi-gP0bHo2Q0&q=EhAgAQkgGL_cQFAgHbUjai2MGO7Nqc4GIjC9OPdIL1Z13cL9GgnEM48PQfxq2xK7DTttoE_X4oSbyzMby7NWCpehGrenyzQBHOcyAVJaAUM → 429 (28ms, 3496B)
[2026-03-30T12:05:02.992Z] GET https://www.google.com/recaptcha/enterprise.js → 200 (26ms, 1638B)
[2026-03-30T12:05:03.018Z] GET https://www.gstatic.com/recaptcha/releases/79clEdOi5xQbrrpL2L8kGmK3/recaptcha__en.js → 200 (260ms, 870412B)
[2026-03-30T12:05:03.318Z] GET https://www.google.com/recaptcha/enterprise/anchor?ar=1&k=6LdLLIMbAAAAAIl-KLj9p1ePhM-4LCCDbjtJLqRO&co=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbTo0NDM.&hl=en&v=79clEdOi5xQbrrpL2L8kGmK3&size=normal&s=ZxvQk8AdUFwKvHWDYI6otwuPiFX876YT2Z3rj1BWx-kPi1ZCrQBsUyy4gfBxPikwnmQooGXNMxvzSlEKMTUu9UphyE8t278Yhc4sB05R23quYJ9hQVb54phP9hfwXhzWpVBpIRcUKuWnzH6o9bCscvuer41181eux0mHtaPyReRvy28adr0jFVdCM2lMcdwSVfzfYs7hlY7GsBH60sHUydKY71lpwvOn86MLlLeaZof_-KGn3k2D9uRj2u14hgVz-4tVA6EFNhGbqRtmbP3ifMk6M5L1sfA&anchor-ms=20000&execute-ms=30000&cb=ulve5g3p2ha8 → 200 (44ms, 97387B)
[2026-03-30T12:05:03.364Z] GET https://www.gstatic.com/recaptcha/releases/79clEdOi5xQbrrpL2L8kGmK3/styles__ltr.css → pending (?ms, ?B)
[2026-03-30T12:05:03.364Z] GET https://www.gstatic.com/recaptcha/releases/79clEdOi5xQbrrpL2L8kGmK3/recaptcha__en.js → 200 (15ms, 870412B)
[2026-03-30T12:05:03.482Z] GET https://www.google.com/recaptcha/enterprise/webworker.js?hl=en&v=79clEdOi5xQbrrpL2L8kGmK3 → 200 (25ms, 102B)
[2026-03-30T12:05:03.486Z] GET https://www.gstatic.com/recaptcha/api2/logo_48.png → 200 (18ms, 2228B)
[2026-03-30T12:05:03.486Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (171ms, 34668B)
[2026-03-30T12:05:03.507Z] GET https://www.gstatic.com/recaptcha/releases/79clEdOi5xQbrrpL2L8kGmK3/recaptcha__en.js → 200 (42ms, 870412B)
[2026-03-30T12:05:03.634Z] GET https://www.google.com/recaptcha/enterprise/bframe?hl=en&v=79clEdOi5xQbrrpL2L8kGmK3&k=6LdLLIMbAAAAAIl-KLj9p1ePhM-4LCCDbjtJLqRO&bft=0dAFcWeA7znV2m5IaDNU8gMbk4OOC3cfVgR2sgRATChDyrZKNJrRsCZpvXiYM_jtzphJFyn8FWJD_qGu7K1rQuQC227HBMW1fPcA → 200 (31ms, 17203B)
[2026-03-30T12:05:03.666Z] GET https://www.gstatic.com/recaptcha/releases/79clEdOi5xQbrrpL2L8kGmK3/styles__ltr.css → 200 (?ms, 83366B)
[2026-03-30T12:05:03.666Z] GET https://www.gstatic.com/recaptcha/releases/79clEdOi5xQbrrpL2L8kGmK3/recaptcha__en.js → 200 (1ms, 870412B)
[2026-03-30T12:05:03.720Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (?ms, ?B)
[2026-03-30T12:06:17.004Z] GET https://code.claude.com/docs/en/plugins-reference → 200 (188ms, 1379564B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/media/bb3ef058b751a6ad-s.p.woff2 → 200 (35ms, 40480B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/media/c4b700dcb2187787-s.p.woff2 → 200 (105ms, 51636B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (36ms, 48432B)
[2026-03-30T12:06:17.295Z] GET https://mintcdn.com/claude-code/c5r9_6tjPMzFdDDT/logo/light.svg?fit=max&auto=format&n=c5r9_6tjPMzFdDDT&q=85&s=78fd01ff4f4340295a4f66e2ea54903c → 200 (108ms, 14437B)
[2026-03-30T12:06:17.295Z] GET https://mintcdn.com/claude-code/c5r9_6tjPMzFdDDT/logo/dark.svg?fit=max&auto=format&n=c5r9_6tjPMzFdDDT&q=85&s=1298a0c3b3a1da603b190d0de0e31712 → 200 (112ms, 14437B)
[2026-03-30T12:06:17.295Z] GET https://d3gk2c5xim1je2.cloudfront.net/flags/US.svg → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/css/6d69438450cf7bb8.css?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → 200 (112ms, 227460B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/css/93bac6dd9c729729.css?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → 200 (36ms, 23557B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/css/05d6d8fcb903870d.css?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → 200 (108ms, 15790B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/webpack-2a21338ec5febb2b.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/87c73c54-dd8d81ac9604067c.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/90018-e9329ba72d3944e2.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/main-app-76ddd9525ef90e67.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/891cff7f-dcf0b8e94fd9e2cd.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/51288-0fb44d6be82e9af5.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/14079-70bacdc9c734d291.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/53105-c5098dd7faa69cf4.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/95115-7f3830b22524c9f1.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/90880-8c4cda81ffff4a1f.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.295Z] GET https://code.claude.com/docs/_next/static/chunks/81974-469a0fabac51ec40.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/98816-4875194b6205382d.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/80239-ce217fc534a5bb94.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/19664-8ce43df6b74bea12.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/8685-a0db584169d7e683.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/55016-0f49c4494470e9ac.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/75862-ad04ffab7fa65a12.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/71251-e2aa75d985fc5a83.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/app/error-cad9a32b7caec24e.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/cfdfcc00-442051842d4b5e4f.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/d30757c7-4ce3b53815c6f230.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/50867-80e9047ba5d299cd.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/40608-dee6463ebdfc9e22.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/96613-d9098930227907bd.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/80622-f3d53ca11af4b565.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/45791-e31cbca6136076cf.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/68789-e7d81f669637c445.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/41302-44a25483adef4763.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/67313-742ff9cc27331b71.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/73205-ab7123a5f22cbb72.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
[2026-03-30T12:06:17.296Z] GET https://code.claude.com/docs/_next/static/chunks/20660-c2e9a1a549da1667.js?dpl=dpl_HNDpb4K1mjtpMAcNbLUJHfXeG9Ut → pending (?ms, ?B)
